,songs
0,Uptown Funk!
1,Thinking Out Loud
2,See You Again
3,Trap Queen
4,Sugar
5,Shut Up And Dance
6,Blank Space
7,Watch Me
8,Earned It (Fifty Shades Of Grey)
9,The Hills
10,Cheerleader
11,Can't Feel My Face
12,Love Me Like You Do
13,Take Me To Church
14,Bad Blood
15,Lean On
16,Want To Want Me
17,Shake It Off
18,Where Are U Now
19,Fight Song
20,679
21,Lips Are Movin
22,Worth It
23,Post To Be
24,"Honey, I'm Good."
25,I'm Not The Only One
26,Good For You
27,All About That Bass
28,Style
29,Hotline Bling
30,Hey Mama
31,G.D.F.R.
32,What Do You Mean?
33,Photograph
34,Hello
35,Stitches
36,Talking Body
37,Jealous
38,Time Of Our Lives
39,Locked Away
40,Somebody
41,FourFiveSeconds
42,Centuries
43,My Way
44,Take Your Time
45,Animals
46,I Don't F**k With You
47,B**** Better Have My Money
48,Flex (Ooh Ooh Ooh)
49,Nasty Freestyle
50,Only
51,Elastic Heart
52,Cool For The Summer
53,Renegades
54,I Don't Mind
55,Love Me Harder
56,Wildest Dreams
57,Stay With Me
58,You Know You Like It
59,Uma Thurman
60,7/11
61,The Heart Wants What It Wants
62,Girl Crush
63,Slow Motion
64,Drag Me Down
65,Truffle Butter
66,One Last Time
67,Chains
68,All Eyes On You
69,No Type
70,Riptide
71,Classic Man
72,Ex's & Oh's
73,Dear Future Husband
74,Marvin Gaye
75,Like I'm Gonna Lose You
76,Habits (Stay High)
77,The Hanging Tree
78,CoCo
79,Bang Bang
80,Lay Me Down
81,Tuesday
82,Hit The Quan
83,Downtown
84,House Party
85,Ayo
86,Kick The Dust Up
87,Blessings
88,Budapest
89,Chandelier
90,Heartbeat Song
91,Don't
92,Ghost
93,Here
94,Waves
95,El Perdon (Forgiveness)
96,She Knows
97,Night Changes
98,Back To Back
99,How Deep Is Your Love
